Date,Predicted_Sales
2024-05-19,97319.49
2024-05-20,98046.05
2024-05-21,99485.79
2024-05-22,97986.11
2024-05-23,98930.17
2024-05-24,100809.39
2024-05-25,97239.66
2024-05-26,99699.34
2024-05-27,96881.45
2024-05-28,97752.39
2024-05-29,97883.95
2024-05-30,98498.17
2024-05-31,97466.99
2024-06-01,99008.55
2024-06-02,96833.33
2024-06-03,99274.04
2024-06-04,97553.85
2024-06-05,98277.85
2024-06-06,96958.86
2024-06-07,98462.33
2024-06-08,98817.72
2024-06-09,97102.35
2024-06-10,98645.11
2024-06-11,98115.37
2024-06-12,97826.62
2024-06-13,96664.52
2024-06-14,99314.79
2024-06-15,98932.9
2024-06-16,98503.24
2024-06-17,97419.15
